1817,1816
1455,1454
1590,1508
1980,1959
822,742
1911,1850
111,92
1800,1610
1040,839
1589,1417
1591,1445
1628,1494
1883,1882
716,607
1829,1502
1965,203
114,111
618,575
206,203
1842,1840
990,568
219,196
1609,1390
976,660
1761,1753
1734,1659
1747,1678
1923,1922
995,920
1904,624
1924,1923
1728,1719
1897,1896
1817,1653
1837,1720
204,130
1898,1897
995,915
1764,1753
613,203
616,613
1743,1586
1886,1882
1771,1523
1528,1527
212,120
1942,1908
171,128
872,822
1963,1949
1943,1207
1833,1610
852,700
1884,1850
1156,1111
1654,1644
1998,1933
1754,1591
1743,1554
1837,1836
1659,1578
1979,1934
1628,1627
1660,1659
1720,1719
1931,1893
1644,1589
1756,1753
209,203
1018,848
990,786
1889,1882
1730,1727
1113,1112
154,150
985,972
872,686
1747,1523
1926,1921
1986,1972
1999,1991
1759,1753
935,598
1947,641
1018,614
1871,1851
1983,1903
1900,1896
1739,1533
1943,1848
1994,1921
1819,1660
823,789
915,872
1456,1455
1767,1753
626,625
918,742
1790,1592
985,679
1793,1508
1523,1495
1375,1242
990,623
1834,1527
1979,1375
791,678
1753,1593
1627,1435
1983,1884
1733,1727
112,111
1712,1533
1925,1924
204,203
976,710
1884,1883
1591,1490
1748,1711
1961,1855
1830,1533
783,678
1664,1586
990,766
1948,1930
1963,616
1124,1111
1722,1456
1534,1494
154,112
1609,1417
1991,1855
1819,1492
872,742
1755,1754
1390,1113
1998,1997
1988,1962
700,150
1907,1897
914,613
1390,1207
1762,1753
1018,679
705,219
1906,952
1508,1446
1644,1626
614,613
1906,1882
1445,1444
972,595
1816,1445
1040,568
207,203
1882,743
1754,1753
786,678
1748,1593
1986,1897
791,640
1887,1882
1728,1727
1529,1527
1835,1444
1909,1906
1644,1495
210,203
112,91
1753,1532
1986,1883
1816,1808
1765,1753
1803,1627
935,783
868,613
1606,1454
1997,1869
1983,1971
1755,1460
1496,1456
1746,1735
1747,1721
1757,1753
1658,1640
1982,1871
1735,1734
860,595
219,171
1722,1642
1890,1882
1925,1849
1731,1727
1979,1978
1651,1492
1720,1610
1927,1921
848,607
839,787
1849,1840
1523,1419
1651,1586
1997,1994
1768,1753
1836,1668
641,640
1965,613
1804,1446
1827,1816
212,122
1979,1959
1760,1753
918,791
787,618
1654,1610
1923,575
1904,1892
1829,1727
1454,1444
1896,743
1987,623
1816,1635
1908,1907
1949,1935
1446,1445
852,832
204,122
1749,1748
1982,1959
113,111
1943,1851
205,203
1825,1743
615,613
1885,1882
1988,1904
1934,1933
1907,1906
1787,1770
1999,1998
1533,1445
1554,1495
1877,616
1835,1611
1763,1753
1787,1729
1749,1455
1754,1659
1721,1244
1709,1669
203,111
945,766
1930,1884
1655,1527
1244,1184
1750,1419
1804,1637
1734,1712
985,789
1922,1921
208,203
1833,1709
219,123
1729,1728
1635,1455
1906,1796
1836,1719
1640,1417
1460,1459
1910,1906
1534,1533
1922,1907
1942,1849
1978,1933
1899,1896
212,97
1913,613
1962,1948
1820,1626
1592,1591
1766,1753
1816,1583
1903,1898
1719,1659
1933,1112
1771,1706
1987,1986
1637,1626
1921,1156
1836,1835
1998,1995
130,112
1888,1882
1720,1660
1988,1987
204,97
1722,1678
1746,1654
1816,1749
1980,1839
1736,1734
1790,1723
1971,1893
1951,1896
1738,1532
972,705
1803,1527
1743,1494
1533,1532
1112,1111
625,624
1817,1803
1241,1112
1947,1912
852,123
1758,1753
1750,1749
976,823
1992,1947
1961,1959
1732,1727
832,140
1606,1111
624,623
