setup,grid,solver,p,n_pfs,wall_s,wall_us,init_s,failed_count,successful_count,mean_pf_solve_time_s,mean_parse_time_s
setup1,case10000_goc,dcopf,184,10000,341.357316,34135.73160000001,154.199119,0,10000,4.398741,0.0
setup1,case10000_goc,dcpf,152,10000,11.736805,1173.6805,109.812211,0,10000,0.168873,0.0
setup1,case10000_goc,opf,184,10000,4795.127644,479512.7644,250.915498,0,10000,79.172702,0.0
setup1,case10000_goc,pf,152,10000,608.473028,60847.302800000005,144.404855,0,10000,3.937419,0.0
setup1,case118_ieee,dcopf,216,2000000,503.102774,251.551387,252.683898,0,2000000,0.032924,0.0
setup1,case118_ieee,dcpf,184,2000000,36.303067,18.1515335,211.198613,0,2000000,0.002078,0.0
setup1,case118_ieee,opf,216,2000000,5133.984611,2566.9923055,617.715607,0,2000000,0.394524,0.0
setup1,case118_ieee,pf,120,2000000,105.642379,52.8211895,340.291045,0,2000000,0.00476,0.0
setup1,case14_ieee,dcopf,216,4000000,175.958681,43.98967025,385.744139,0,4000000,0.004859,0.0
setup1,case14_ieee,dcpf,40,4000000,19.58488,4.89622,195.072263,0,4000000,0.000104,0.0
setup1,case14_ieee,opf,216,4000000,684.395366,171.0988415,262.624567,0,4000000,0.020823,0.0
setup1,case14_ieee,pf,120,4000000,28.147999,7.03699975,119.369219,0,4000000,0.000393,0.0
setup1,case2000_goc,dcopf,152,50000,242.581403,4851.62806,116.178765,0,50000,0.476452,0.0
setup1,case2000_goc,dcpf,152,50000,11.039822,220.79644,108.515647,0,50000,0.029588,0.0
setup1,case2000_goc,opf,152,50000,3312.837884,66256.75768,158.575249,0,50000,8.206898,0.0
setup1,case2000_goc,pf,152,50000,666.433308,13328.66616,127.312507,0,50000,0.724654,0.0
setup1,case30_ieee,dcopf,216,3000000,174.352158,58.117386,620.732087,0,3000000,0.006027,0.0
setup1,case30_ieee,dcpf,88,3000000,18.411981,6.137327,82.969896,0,3000000,0.000238,0.0
setup1,case30_ieee,opf,216,3000000,1000.338815,333.44627166666663,415.818726,0,3000000,0.042779,0.0
setup1,case30_ieee,pf,136,3000000,33.862795,11.287598333333333,149.527141,0,3000000,0.000915,0.0
setup1,case500_goc,dcopf,200,500000,695.595365,1391.19073,178.538854,0,500000,0.194945,0.0
setup1,case500_goc,dcpf,216,500000,21.176892,42.353784,232.531732,0,500000,0.008577,0.0
setup1,case500_goc,opf,216,500000,5905.078496,11810.156992,206.317088,0,500000,2.011076,0.0
setup1,case500_goc,pf,216,500000,109.540393,219.080786,241.49741,0,500000,0.036307,0.0
setup1,case57_ieee,dcopf,216,2000000,203.509369,101.7546845,375.674855,0,2000000,0.01118,0.0
setup1,case57_ieee,dcpf,104,2000000,13.851062,6.925531,87.696243,0,2000000,0.000465,0.0
setup1,case57_ieee,opf,216,2000000,1260.615715,630.3078575,459.510319,0,2000000,0.081644,0.0
setup1,case57_ieee,pf,200,2000000,33.320996,16.660498,500.997262,0,2000000,0.002167,0.0
setup2,case10000_goc,dcopf,216,10000,357.968571,35796.8571,168.422235,3,9997,5.196713,0.281836
setup2,case10000_goc,dcpf,152,10000,25.324038,2532.4038,108.221297,0,10000,0.193765,0.182901
setup2,case10000_goc,opf,200,10000,5378.530446,537853.0445999999,288.620203,7,9993,96.47456,0.253984
setup2,case10000_goc,pf,200,10000,640.795572,64079.557199999996,244.976752,0,10000,5.213043,0.212167
setup2,case118_ieee,dcopf,152,2000000,527.147406,263.573703,114.631333,200,1999800,0.023288,0.002248
setup2,case118_ieee,dcpf,152,2000000,45.47756,22.73878,118.438829,0,2000000,0.001467,0.001692
setup2,case118_ieee,opf,184,2000000,4146.227971,2073.1139855,165.166876,0,2000000,0.269126,0.002692
setup2,case118_ieee,pf,168,2000000,113.321145,56.6605725,122.377904,0,2000000,0.005814,0.001688
setup2,case14_ieee,dcopf,152,4000000,185.620352,46.405088,115.846669,0,4000000,0.003456,0.000367
setup2,case14_ieee,dcpf,72,4000000,23.46128,5.86532,55.580993,0,4000000,0.000141,0.000145
setup2,case14_ieee,opf,152,4000000,730.02926,182.507315,137.514542,0,4000000,0.015437,0.000357
setup2,case14_ieee,pf,120,4000000,34.807477,8.70186925,88.182,0,4000000,0.000468,0.000176
setup2,case2000_goc,dcopf,184,50000,265.377907,5307.55814,137.13402,15,49985,0.571452,0.050728
